Amp_range,Avg_amp,Freq_range,Pulses_per_Sec,Partials,MFCC,Duration,Zero_Crossings,Sex,Age,Species,Call
0.097850926,0.0091895005,1385.6382978723402,156.91489361702128,5,-15.48846,4,2931,,,Caracal Carcal,Growl
0.11926142,0.01717438,2418.0,304.0,6,-7.999763,2,1487,,,L. lynx,growl
0.2958193,0.041275334,3926.8,473.4,16,-7.999763,5,3169,,,L. lynx,
0.28253236,0.03533343,5322.700000000001,579.2,21,-7.999763,10,8893,,,L. lynx,call?
0.13766241,0.021431465,1490.5,229.0,3,-7.999763,2,1098,,,L. lynx,growl
0.18001395,0.031212559,2125.75,357.25,9,-7.999763,4,2203,,,L. lynx,call?
0.16464183,0.032696784,2171.5,317.0,5,-7.999763,2,1085,,,L. lynx,call?
0.19760229,0.02414829,2209.75,232.0,5,-7.999763,4,2023,,,L. lynx,
0.23815264,0.025399322,2304.0,365.0,7,-7.999763,2,1918,,,L. lynx,call?
0.1278984,0.01299377,2286.333333333333,285.0,3,-7.999763,3,2491,,,L. lynx,growl
0.28877255,0.021717982,4123.5,524.75,11,-9.834466,4,5102,P,Adult,L. lynx,roar
0.24159968,0.032023497,2330.0,266.0,4,-9.834466,2,1371,P,Adult,L. lynx,growl
0.29512626,0.03053906,3503.75,370.0,14,-9.834466,4,3462,P,Adult,L. lynx,call?
0.22093208,0.02203486,3381.5,658.0,13,-9.834466,2,2822,P,Adult,L. lynx,call?
0.15127718,0.019841114,3627.0,714.5,10,-9.834466,2,2811,P,Adult,L. lynx,call?
0.37950623,0.07329649,4256.5,586.5,18,-9.876375,2,2002,P,Adult,L. lynx,call
0.051156543,0.0077298842,1083.0,143.33333333333334,2,-9.876375,3,2037,P,Adult,L. lynx,growl
0.2140798,0.028513217,3737.0,443.0,16,-9.876375,6,4790,P,Adult,L. lynx,roar or call
0.14172353,0.027248623,2843.75,424.5,13,-9.876375,4,2893,P,Adult,L. lynx,call
0.15295175,0.021562124,1971.5,308.0,4,-9.876375,2,1427,P,Adult,L. lynx,growl
